wavenumber,d2-fructose_raw,d2-fructose_prob,d-tyrosine_raw,d-tyrosine_prob,d-methionine_raw,d-methionine_prob,d-leucine_raw,d-leucine_prob
2002.31,92.0,0.99996865,187.0,0.99469584,0.0,0.99994934,0.0,0.99767464
2005.26,-0.16454175735005316,0.99996865,85.06225798967623,0.99469584,1.0772110436006794e-55,0.99994934,18.787768839352303,0.99767464
2008.21,60.05728804571535,0.99996865,83.07360247502119,0.99469584,-4.271747307892922e-55,0.99994934,66.11477729370087,0.99767464
2011.15,0.1915901789367318,0.99996865,35.914887335076216,0.99469584,3.0832307524558703e-54,0.99994934,0.5945760301512746,0.99767464
2014.09,43.60201291138481,0.99996865,-1.217494952230112,0.99469584,-1.722363103271481e-53,0.99994934,-0.3098626855297386,0.99767464
2017.02,48.68264691574212,0.99996865,113.79461419468078,0.99469584,9.64907289620604e-53,0.99994934,0.4935636244932935,0.99767464
2019.96,174.8795041586525,0.99996865,95.75763839097638,0.99469584,-4.359535570266146e-52,0.99994934,-1.8133355700117662,0.99767464
2022.89,70.6065243065473,0.99996865,200.01596315971892,0.99469584,2.0501746094467077e-51,0.99994934,76.57582032752526,0.99767464
2025.81,-1.8704010442075791,0.99996865,17.07828600711848,0.99469584,-9.693615383233081e-51,0.99994934,31.817027083659386,0.99767464
2028.73,78.45737353942353,0.99996865,213.5307690605399,0.99469584,4.34152003506894e-50,0.99994934,-4.582012913773525,0.99767464
2031.65,71.31661780590566,0.99996865,56.67759750128304,0.99469584,-1.8763436299190006e-49,0.99994934,95.42356815608198,0.99767464
2034.57,96.17590364864192,0.99996865,63.52255577512914,0.99469584,7.906722982640283e-49,0.99994934,4.651699063309193,0.99767464
2037.48,57.858497496936955,0.99996865,9.287863581829434,0.99469584,-3.3490309355295885e-48,0.99994934,57.244080323447996,0.99767464
2040.39,87.25110380243683,0.99996865,28.666140444638163,0.99469584,1.3875709340434313e-47,0.99994934,30.85298302688433,0.99767464
2043.29,69.3604575243587,0.99996865,29.76150272665247,0.99469584,-5.745502858113774e-47,0.99994934,87.80880641232842,0.99767464
2046.19,11.027597561692401,0.99996865,64.63179335408093,0.99469584,2.3349311697419613e-46,0.99994934,6.869553352369001,0.99767464
2049.09,24.716467263422047,0.99996865,112.48966580618522,0.99469584,-9.349998832636517e-46,0.99994934,72.18164012233905,0.99767464
2051.98,-5.532745379298918,0.99996865,24.754896751303683,0.99469584,3.7326512511071576e-45,0.99994934,77.38731058046696,0.99767464
2054.87,94.09578817748174,0.99996865,50.72317422866129,0.99469584,-1.470344963527929e-44,0.99994934,133.53322292894043,0.99767464
2057.76,100.22486422608381,0.99996865,34.54449375115029,0.99469584,5.727683379271852e-44,0.99994934,30.49293341594916,0.99767464
2060.64,23.49514796358745,0.99996865,58.48290245154481,0.99469584,-2.2192100269545698e-43,0.99994934,21.46666690304677,0.99767464
2063.52,14.4056797547476,0.99996865,156.47944213837695,0.99469584,8.506504160206796e-43,0.99994934,117.55835446329026,0.99767464
2066.39,88.60851289193852,0.99996865,76.11751516765038,0.99469584,-3.2350874511252225e-42,0.99994934,33.85662059151057,0.99767464
2069.27,98.13127881867896,0.99996865,23.011579524160936,0.99469584,1.2167631789785092e-41,0.99994934,23.60340613249827,0.99767464
2072.13,48.04782749367836,0.99996865,119.89749689581389,0.99469584,-4.5360443646814457e-41,0.99994934,94.5813751621482,0.99767464
