wavenumber,d2-fructose_avg,d2-fructose_count,d-tyrosine_avg,d-tyrosine_count,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2002.31,0.25506778430365806,15597,0.27097306661647363,2032,0.09843392134175732,44769,0.16914929950012064,3303
2005.26,0.2825200346081837,15597,0.3027137136894986,2032,0.13172137002863107,44769,0.22316064272714903,3303
2008.21,0.23476492782380917,15597,0.24016722056213835,2032,0.10734911132269799,44769,0.20142765452494338,3303
2011.15,0.23901432777601062,15597,0.27114156077761753,2032,0.10160133568774606,44769,0.21778074674551803,3303
2014.09,0.25964693092378,15597,0.2971786155099377,2032,0.10502093352456675,44769,0.2319275695883757,3303
2017.02,0.2664338692102654,15597,0.2978584032672037,2032,0.11466102922906202,44769,0.24635676197632345,3303
2019.96,0.2882602178520568,15597,0.3437919679799574,2032,0.12588130619312946,44769,0.28927521260352274,3303
2022.89,0.196478260514478,15597,0.23545074515291195,2032,0.08554459371398022,44769,0.2066171465362223,3303
2025.81,0.232655154616691,15597,0.2648169837853548,2032,0.10166710882990003,44769,0.2527378455476753,3303
2028.73,0.3282302928720732,15597,0.3810497150280559,2032,0.15800550271330646,44769,0.36998348337576037,3303
2031.65,0.23341069072235526,15597,0.27844639063982685,2032,0.10858811501503782,44769,0.28887746103983897,3303
2034.57,0.18566881771325083,15597,0.22877785497883127,2032,0.08014606168203785,44769,0.24121333387284064,3303
2037.48,0.21489960916439388,15597,0.2650797404217662,2032,0.09246680796241687,44769,0.2861683085974902,3303
2040.39,0.21090772976274288,15597,0.26215174299678473,2032,0.09304802431853852,44769,0.2957674215423835,3303
2043.29,0.226478289613175,15597,0.27571195587006764,2032,0.10689495100223204,44769,0.3409341925789027,3303
2046.19,0.216083512360041,15597,0.2742796696639376,2032,0.09751854763891214,44769,0.3630435446656857,3303
2049.09,0.2296202309002991,15597,0.2895581066079449,2032,0.10030971341942474,44769,0.3703060338615581,3303
2051.98,0.21777638861584606,15597,0.28375785914835044,2032,0.1007320757272936,44769,0.3947916538284219,3303
2054.87,0.2297101768198654,15597,0.3029695715707783,2032,0.10844525770344618,44769,0.4420247471309575,3303
