wavenumber,d2-fructose_avg,d2-fructose_count,d7-glucose_avg,d7-glucose_count,d-tyrosine_avg,d-tyrosine_count,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2002.31,0.3049827231750668,4263,0.13850001007423512,99246,0.2888719071836263,14589,0.3273225568668677,3634,0.2272907547169793,4347
2005.26,0.35839795966927257,4263,0.16545009521591064,99246,0.3376017308856943,14589,0.372875204317238,3634,0.2841920132928813,4347
2008.21,0.29694274699571666,4263,0.13755386137741116,99246,0.2773644268027139,14589,0.31313322721011544,3634,0.2545374989555324,4347
2011.15,0.32451743856046344,4263,0.12561486440946867,99246,0.3020276887842565,14589,0.3377032262826529,3634,0.2719412091242605,4347
2014.09,0.35845459898312865,4263,0.13383493454147777,99246,0.3220031922917102,14589,0.3529067965227961,3634,0.30238001312384155,4347
2017.02,0.3632827573262771,4263,0.1445472702450734,99246,0.3291681619321391,14589,0.3598585232899635,3634,0.32353076831517913,4347
2019.96,0.3913308780809757,4263,0.1556682063171293,99246,0.36082698974569366,14589,0.4007074680987364,3634,0.36845492968320087,4347
2022.89,0.2901559841897672,4263,0.09929688663045587,99246,0.25888536912494775,14589,0.29318225424116834,3634,0.26753475247995473,4347
2025.81,0.3221493793119582,4263,0.1205180078178657,99246,0.29401193484213234,14589,0.33958466378897234,3634,0.31608021458336183,4347
2028.73,0.43428112816468506,4263,0.19508471197347171,99246,0.3956039211364319,14589,0.45887862974306043,3634,0.4456729679616237,4347
2031.65,0.339687780015485,4263,0.12733116736504937,99246,0.3043869850234402,14589,0.36184375198672186,3634,0.358123809999268,4347
2034.57,0.286381480532584,4263,0.09026360257269457,99246,0.25411555098010785,14589,0.3012655492832472,3634,0.30617560735514104,4347
2037.48,0.31911329992373283,4263,0.1070590813853734,99246,0.2862686908419372,14589,0.3426678773353679,3634,0.3565797466251757,4347
2040.39,0.31595323162520494,4263,0.10542117858594195,99246,0.288586167965743,14589,0.3377159784208857,3634,0.3715250957778476,4347
2043.29,0.32865254865780186,4263,0.11903296613030308,99246,0.30403520409185947,14589,0.38077387853608574,3634,0.4170212968475474,4347
2046.19,0.3319163904062479,4263,0.10606771854021199,99246,0.3073919512995015,14589,0.38801698921006633,3634,0.4299047897212152,4347
2049.09,0.34905441012622956,4263,0.10857032942788598,99246,0.326523383104241,14589,0.4089266551132194,3634,0.45277148496111064,4347
2051.98,0.34446237396163987,4263,0.1062559497605834,99246,0.31624027773047,14589,0.4212941084771268,3634,0.4816731819837814,4347
2054.87,0.36923094662092454,4263,0.11276769518977335,99246,0.3345502124648705,14589,0.45398241450331744,3634,0.5256870831495658,4347
2057.76,0.33041612339203624,4263,0.09814951365365043,99246,0.3147062309389737,14589,0.4511282169493982,3634,0.5329553679851641,4347
2060.64,0.4060453205614785,4263,0.13710002827337686,99246,0.39217557411917275,14589,0.5268358129872508,3634,0.6172951388262923,4347
2063.52,0.3873407840826486,4263,0.1301644431687785,99246,0.3779649327903864,14589,0.5129682969242297,3634,0.60707642764081,4347
2066.39,0.34254485999819534,4263,0.11330505538793387,99246,0.34249171295430547,14589,0.5099965766274679,3634,0.5881390287833869,4347
