wavenumber,d2-fructose_avg,d2-fructose_count,d-tyrosine_avg,d-tyrosine_count,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2028.73,0.28359647636771107,4416,0.34524752241925233,2922,0.20937379062090686,39856,0.4369408765504779,5595
2031.65,0.18458404497221934,4416,0.21217086752284392,2922,0.15203320279643395,39856,0.3515542373081955,5595
2034.57,0.18428076827052528,4416,0.22928392966420033,2922,0.15856581617101956,39856,0.3680252352912095,5595
2037.48,0.40471836966382324,4416,0.4728944758688973,2922,0.2823079068882894,39856,0.5567915660334759,5595
2040.39,0.47225305535959633,4416,0.577470216349889,2922,0.3529874479011008,39856,0.6367938081812875,5595
2043.29,0.22941355361679636,4416,0.3002315590198076,2922,0.19311316174805904,39856,0.4236930315406477,5595
2046.19,0.24421457200591765,4416,0.30555061385865157,2922,0.2092704944130827,39856,0.4261933230469004,5595
2049.09,0.3637570541024572,4416,0.45993339658148596,2922,0.28632591135344126,39856,0.5536778170328389,5595
2051.98,0.25828372159418894,4416,0.3104333693662853,2922,0.20782469093922898,39856,0.4539736309914799,5595
2054.87,0.4059966945900185,4416,0.47815813915777494,2922,0.31653619603383853,39856,0.5976806440811586,5595
2057.76,0.3121533325835616,4416,0.3655784057377618,2922,0.2439033206108185,39856,0.5049729844049382,5595
2060.64,0.24744812894066143,4416,0.3180474576351955,2922,0.19800084555958553,39856,0.4674795501047367,5595
2063.52,0.24392370199146798,4416,0.30849579196456645,2922,0.18942783815674027,39856,0.44598867596019554,5595
2066.39,0.22908931912104694,4416,0.30332329470044805,2922,0.184424761305327,39856,0.4354478464441593,5595
2069.27,0.28017164531577476,4416,0.3659055457378376,2922,0.23436502507897583,39856,0.5012370155958994,5595
2072.13,0.347642165279039,4416,0.4420757558939406,2922,0.2801101872227521,39856,0.5515126453268642,5595
2075.0,0.28766146278097926,4416,0.40071662875856584,2922,0.24150467900812747,39856,0.5213661580488308,5595
2077.86,0.31411516836426423,4416,0.4366993225498104,2922,0.26000646302533836,39856,0.5609664569309639,5595
2080.71,0.30647230131388586,4416,0.4199131161753904,2922,0.25031836598385654,39856,0.5495143470476471,5595
2083.57,0.2552369092941043,4416,0.3752720515642189,2922,0.21269151782436072,39856,0.5127198432598737,5595
2086.42,0.22636033146962362,4416,0.3362133426564314,2922,0.20274623391132435,39856,0.4862699221732982,5595
2089.27,0.33897009287124424,4416,0.47442370939600687,2922,0.30005716037784197,39856,0.5680246810833978,5595
2092.11,0.3856947411871564,4416,0.5403082756655821,2922,0.3198177872032503,39856,0.5954685867890457,5595
2094.95,0.26427954002419995,4416,0.3741091673239636,2922,0.22067331341629973,39856,0.4942527270025947,5595
2097.79,0.42572488853050156,4416,0.577504523656925,2922,0.34076025444350255,39856,0.6513161316905873,5595
2098.91,0.32808165017912805,4416,0.46229103455700865,2922,0.26977086125210153,39856,0.5710861638139813,5595
2102.04,0.2099443550843054,4416,0.2868738772578326,2922,0.17801365786648754,39856,0.4446094068163677,5595
2105.15,0.25229352448301706,4416,0.35160649957100687,2922,0.2151912034339456,39856,0.4971796491274237,5595
2108.27,0.28916447452832467,4416,0.3795579657273456,2922,0.2537523143813687,39856,0.5087125914379816,5595
2111.38,0.37473509840382435,4416,0.49728071697512327,2922,0.3016380200540829,39856,0.5984773739396134,5595
2114.49,0.31211154778667044,4416,0.43441083551716303,2922,0.28162059883149027,39856,0.5242077868699305,5595
2117.6,0.25139667068013044,4416,0.33924823148072036,2922,0.20208340363010957,39856,0.4698995233202363,5595
2120.7,0.23592726202080716,4416,0.34981725885155074,2922,0.2049846408208005,39856,0.4656516454925153,5595
2123.8,0.26459011352131856,4416,0.3646965333611435,2922,0.214655901329309,39856,0.4937923692371374,5595
2126.9,0.4211870053393488,4416,0.5197422611328291,2922,0.3488293020675844,39856,0.6098276710497796,5595
2129.99,0.4279772254204801,4416,0.5316095796817061,2922,0.33889080014092754,39856,0.6281067223852346,5595
2133.08,0.3541581601131703,4416,0.45784754655316756,2922,0.28212427271310525,39856,0.5649429319386272,5595
2136.17,0.2151357281688927,4416,0.26391820673359795,2922,0.1738888863907006,39856,0.4164417286761494,5595
2139.25,0.2598375446551436,4416,0.3089862283441308,2922,0.20505511247910402,39856,0.46359798931229934,5595
2142.33,0.35510371657626844,4416,0.4094777540470524,2922,0.2711085350965629,39856,0.5523303329916491,5595
2145.41,0.5034113422564321,4416,0.5659137463731746,2922,0.42082465166496164,39856,0.6613991215179655,5595
2148.49,0.3532238661068696,4416,0.3850076505184641,2922,0.2858783112940456,39856,0.5561021968690882,5595
2151.56,0.5044759385364227,4416,0.5261899790191628,2922,0.47488830315719993,39856,0.6719016756016751,5595
2154.63,0.8648226747114474,4416,0.8938554085522875,2922,0.8829003405063666,39856,0.9468865739574903,5595
2157.69,0.6095033232465394,4416,0.6235945943409857,2922,0.5677171278175938,39856,0.7697618563038034,5595
2160.75,0.5565676334982291,4416,0.5592311641137458,2922,0.4820084842961236,39856,0.7004831570864035,5595
2163.81,0.645806705958881,4416,0.65080737454238,2922,0.6139420113587976,39856,0.7617955591057723,5595
2166.87,0.6046328948730003,4416,0.6073348735168487,2922,0.5496604754161691,39856,0.7081188357532845,5595
2169.92,0.6306091175187167,4416,0.615432483672983,2922,0.5899138167785649,39856,0.7225379475742993,5595
2172.97,0.6819521567667537,4416,0.673314928707001,2922,0.6626088669898724,39856,0.7734936636625849,5595
2176.02,0.6053914358421467,4416,0.5892690468979465,2922,0.5724625162040957,39856,0.718932770454835,5595
2179.06,0.5509699429020166,4416,0.4931419400424876,2922,0.4855611249755346,39856,0.6655725985735192,5595
2182.1,0.6087549505159031,4416,0.5603435064345995,2922,0.5520793860299629,39856,0.7044042449395701,5595
2185.14,0.5810431203531923,4416,0.5474631203003536,2922,0.5230879192574701,39856,0.6819845770243306,5595
2188.17,0.6604836081752566,4416,0.601788281342002,2922,0.6376563442556404,39856,0.7378981241526782,5595
2191.2,0.4480747849289253,4416,0.3891685860892997,2922,0.3964852840201421,39856,0.5595588251382185,5595
2194.23,0.4419275641607736,4416,0.3973083039227956,2922,0.38448513431488807,39856,0.5612187508416793,5595
2197.26,0.5385205455972141,4416,0.4842383290860784,2922,0.4782656983236606,39856,0.648731634521028,5595
2200.28,0.4549694707839616,4416,0.44247476511425626,2922,0.4018865540579751,39856,0.6171594712794962,5595
