wavenumber,d2-fructose_avg,d2-fructose_count,d7-glucose_avg,d7-glucose_count,d-tyrosine_avg,d-tyrosine_count,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2002.31,0.28794893766877644,1829,0.1395444394099966,103891,0.28876142753465656,14579,0.3224697932343165,1097,0.1755311987331544,1688
2005.26,0.33840602222293664,1829,0.16675632810707303,103891,0.3374621093388487,14579,0.35779227532043756,1097,0.22735113276673344,1688
2008.21,0.2779940673025952,1829,0.138652995324782,103891,0.27720655011951495,14579,0.2991345360063417,1097,0.2026972361643177,1688
2011.15,0.30001044989154046,1829,0.12747222067046118,103891,0.30191870232285745,14579,0.32392649783825556,1097,0.21843458557274564,1688
2014.09,0.33028851922445035,1829,0.13582039635847606,103891,0.3219069993856294,14579,0.34227837310211423,1097,0.25320998373550374,1688
2017.02,0.3353011801484256,1829,0.14630638630471968,103891,0.32917509520923083,14579,0.3428683271693622,1097,0.26916589232005045,1688
2019.96,0.36425458368676145,1829,0.15809567467044724,103891,0.3608469856342495,14579,0.38486020869271637,1097,0.30997828450837195,1688
2022.89,0.27008498516788915,1829,0.10109406205141026,103891,0.25891288706227916,14579,0.29104763736685213,1097,0.2143844333505837,1688
2025.81,0.29431318707994136,1829,0.12245653320634856,103891,0.2939550779208573,14579,0.32897580218317596,1097,0.2662473370708531,1688
2028.73,0.40253859606897846,1829,0.19767349209554852,103891,0.3956547432151592,14579,0.4444811313363544,1097,0.38722823115193017,1688
2031.65,0.31357301944493965,1829,0.1294053340171057,103891,0.3043633998075214,14579,0.3571479166505584,1097,0.3117572425857958,1688
2034.57,0.262319614744123,1829,0.09231162564318404,103891,0.25409477946162634,14579,0.2933797864756275,1097,0.2697887834760963,1688
2037.48,0.29716573170643173,1829,0.10953717986852193,103891,0.2863245780504182,14579,0.33559078088350397,1097,0.31845576251561053,1688
2040.39,0.29623244426134726,1829,0.1077522628167305,103891,0.2885736933548367,14579,0.3356372952228918,1097,0.33891509014419247,1688
2043.29,0.3020866767251604,1829,0.12176023772100714,103891,0.304017840669741,14579,0.37191616204608724,1097,0.38841457487077474,1688
2046.19,0.30453092908335017,1829,0.10886456312696989,103891,0.30741583845218357,14579,0.3921699721245896,1097,0.41010683588785546,1688
2049.09,0.32749118427765905,1829,0.11164582841721886,103891,0.3264942271081736,14579,0.41627894663647635,1097,0.4398201225346928,1688
2051.98,0.3171694051793515,1829,0.10946865599300044,103891,0.3160978400910658,14579,0.4233347043205798,1097,0.47211090335884925,1688
2054.87,0.3441369659700736,1829,0.11649876032605197,103891,0.3345753841103184,14579,0.45831123250440575,1097,0.5225030267064201,1688
2057.76,0.30064319602115186,1829,0.10179064778929986,103891,0.31477002732663817,14579,0.44920747898063385,1097,0.5345166854413599,1688
2060.64,0.37008333221891615,1829,0.1416321871836244,103891,0.39213925682532924,14579,0.531019056829921,1097,0.6217494220281938,1688
2063.52,0.3574451089358917,1829,0.1345215498869102,103891,0.3779305416774832,14579,0.5129706579326639,1097,0.6169521276920102,1688
2066.39,0.31344346177213717,1829,0.11755415307346354,103891,0.3424362992745756,14579,0.508247757280817,1097,0.5977703901055345,1688
2069.27,0.3448615578953523,1829,0.1348436917962694,103891,0.37980411855283014,14579,0.5494699261575403,1097,0.6333665369491185,1688
2072.13,0.33907325960548174,1829,0.1265278087807842,103891,0.37387150608228276,14579,0.5441752468619271,1097,0.616908023301294,1688
2075.0,0.34966622956479954,1829,0.14511561645886875,103891,0.38950341745181094,14579,0.5891788702901624,1097,0.6550346555364241,1688
2077.86,0.3684777958440157,1829,0.15964389668003068,103891,0.4162009288188773,14579,0.6226833849034287,1097,0.6836115312824723,1688
2080.71,0.3663758459404391,1829,0.14983467704541395,103891,0.41493586586472675,14579,0.6213875383704452,1097,0.6555818902853264,1688
2083.57,0.37687689093808463,1829,0.1709987014616518,103891,0.43243115801617255,14579,0.6648461475690041,1097,0.6900730648593074,1688
2086.42,0.38698630366775594,1829,0.18014188679928184,103891,0.45310805747938343,14579,0.6940859044817422,1097,0.7157168665488521,1688
2089.27,0.4044397104608908,1829,0.18740271657147617,103891,0.473797020191965,14579,0.7141489065940981,1097,0.7190207679477828,1688
2092.11,0.3827424487372365,1829,0.18369013518244592,103891,0.44797867181072576,14579,0.6947496547389685,1097,0.6853108887379917,1688
2094.95,0.37305952717801133,1829,0.17516477005505926,103891,0.4347461182179745,14579,0.6806919864370018,1097,0.6601373236688636,1688
2097.79,0.38281898118132757,1829,0.19434095637618579,103891,0.45059734733891793,14579,0.7162080604411667,1097,0.6890019368301511,1688
2098.91,0.346896514517473,1829,0.17267758701689226,103891,0.4122632730194247,14579,0.6784847547249362,1097,0.6441542539354425,1688
2102.04,0.4174616521371355,1829,0.20889516590061744,103891,0.4726785665921682,14579,0.7425015353136464,1097,0.7086261877871609,1688
2105.15,0.37011196413780006,1829,0.17805810801802185,103891,0.42159999800103726,14579,0.7113990917977904,1097,0.6447830084562979,1688
2108.27,0.3475092724989439,1829,0.14361322830287512,103891,0.3947510656206885,14579,0.654181941878817,1097,0.570148062872027,1688
2111.38,0.4269146896357653,1829,0.20946990903233567,103891,0.46454409495345145,14579,0.7584764996034948,1097,0.6625834574026839,1688
2114.49,0.33805553464009996,1829,0.15448987704146697,103891,0.37232906875568583,14579,0.6635110991073033,1097,0.5526288741507914,1688
2117.6,0.4350967244224558,1829,0.20897700499390354,103891,0.46050978214933436,14579,0.7646151966494049,1097,0.6421867503901906,1688
2120.7,0.42803827877317846,1829,0.21716461648671637,103891,0.45387312487093195,14579,0.7767207976258351,1097,0.6488198656210176,1688
2123.8,0.48091420760370107,1829,0.2777778490382994,103891,0.5163054716870128,14579,0.8366349333492255,1097,0.7262911569591282,1688
2126.9,0.5050782371350165,1829,0.30409698275771363,103891,0.5372972550378091,14579,0.83920599065769,1097,0.7571325779569642,1688
2129.99,0.44013466034246906,1829,0.26117211870005835,103891,0.4699000665880194,14579,0.7855650611465326,1097,0.6920618944402812,1688
2133.08,0.43977848658104024,1829,0.21728533385476032,103891,0.44166855287275564,14579,0.7532356364014751,1097,0.628032099933301,1688
2136.17,0.3831643304837332,1829,0.19876781631194193,103891,0.38094872556458814,14579,0.7059724784301088,1097,0.5858070737013533,1688
2139.25,0.4684519967700314,1829,0.2590320992682118,103891,0.46232375422461297,14579,0.7918947618186182,1097,0.6580071379833922,1688
2142.33,0.5418125738591105,1829,0.32098657787210866,103891,0.5283232724539012,14579,0.8504351983089072,1097,0.7332339646933909,1688
2145.41,0.5648592760082662,1829,0.37697601321496355,103891,0.5629947645818155,14579,0.8963648982248863,1097,0.7914669496081269,1688
2148.49,0.6554859127293186,1829,0.48245275600504317,103891,0.6631034935362324,14579,0.9839545469286417,1097,0.9139619261482582,1688
2151.56,0.6631405288480056,1829,0.4941996434116589,103891,0.6574264736632006,14579,1.0,1097,0.9269696524270225,1688
2154.63,0.6703849823540524,1829,0.47657039942636686,103891,0.6489059492030058,14579,0.9946627377096939,1097,0.9036154230479367,1688
2157.69,0.6488160007155797,1829,0.46303060540043445,103891,0.6246443294147748,14579,0.934470945285384,1097,0.8580444168630549,1688
2160.75,0.5827849106417615,1829,0.4297338763126129,103891,0.5490562216308914,14579,0.8480822754717752,1097,0.7624362196417069,1688
2163.81,0.6256157273733782,1829,0.4335118087172779,103891,0.581379210911442,14579,0.8796877905187851,1097,0.7777548279102374,1688
2166.87,0.5445735218868426,1829,0.3545036709204883,103891,0.48744338532817455,14579,0.7633488310000771,1097,0.658404829537053,1688
