wavenumber,d-methionine_raw,d-methionine_prob
2002.31,1575.0,0.9999889
2005.26,1557.4904102017097,0.9999889
2008.21,1697.2924746759722,0.9999889
2011.15,1660.7620745632535,0.9999889
2014.09,1596.7238586087908,0.9999889
2017.02,1617.3915191171689,0.9999889
2019.96,1607.4562610490586,0.9999889
2022.89,1601.2401710630525,0.9999889
2025.81,1640.6651898564085,0.9999889
2028.73,1647.9657135041775,0.9999889
2031.65,1650.5038766724567,0.9999889
2034.57,1634.6309895220534,0.9999889
2037.48,1587.173381046902,0.9999889
2040.39,1574.5709998098653,0.9999889
2043.29,1554.8047911928593,0.9999889
2046.19,1633.6031889233768,0.9999889
2049.09,1650.7800001414785,0.9999889
2051.98,1595.8965810561401,0.9999889
2054.87,1608.0524458332525,0.9999889
2057.76,1554.1610408694978,0.9999889
2060.64,1605.7033884226598,0.9999889
2063.52,1701.876125593245,0.9999889
2066.39,1669.9246004858448,0.9999889
2069.27,1665.1740112503794,0.9999889
2072.13,1727.6713730640033,0.9999889
2075.0,1716.2161692160835,0.9999889
2077.86,1672.3536602516745,0.9999889
2080.71,1633.2150930553435,0.9999889
2083.57,1589.8670091777797,0.9999889
2086.42,1665.3889163400543,0.9999889
2089.27,1676.1941854737129,0.9999889
2092.11,1682.54329710733,0.9999889
2094.95,1679.8606778309618,0.9999889
2097.79,1708.2558172704641,0.9999889
2098.91,1716.2078426945034,0.9999889
2102.04,1689.7841149609621,0.9999889
2105.15,1684.8014674472395,0.9999889
2108.27,1703.6395241173052,0.9999889
2111.38,1683.2415461850235,0.9999889
2114.49,1677.690277823763,0.9999889
2117.6,1565.3819438174003,0.9999889
2120.7,1599.5672179448713,0.9999889
2123.8,1574.8628727631694,0.9999889
2126.9,1630.6248809137778,0.9999889
2129.99,1678.7794892946997,0.9999889
2133.08,1563.242472735253,0.9999889
2136.17,1594.2269630799606,0.9999889
2139.25,1595.0248899685485,0.9999889
2142.33,1607.64956950126,0.9999889
2145.41,1617.5183534701332,0.9999889
2148.49,1578.1498836570272,0.9999889
2151.56,1561.2865338843703,0.9999889
2154.63,1536.020956474466,0.9999889
2157.69,1576.6269912587118,0.9999889
2160.75,1538.5424842809482,0.9999889
2163.81,1576.3328741434646,0.9999889
2166.87,1594.717222542655,0.9999889
2169.92,1605.0516414539557,0.9999889
2172.97,1625.8056806931975,0.9999889
2176.02,1628.6685629765166,0.9999889
2179.06,1572.437533599767,0.9999889
2182.1,1611.7950716168605,0.9999889
2185.14,1619.7712290020565,0.9999889
2188.17,1643.4375520492042,0.9999889
2191.2,1666.6683054900936,0.9999889
2194.23,1656.141266072018,0.9999889
2197.26,1702.3003359022107,0.9999889
2200.28,1693.9899219524261,0.9999889
2203.3,1667.541815025733,0.9999889
2206.31,1683.3163564293554,0.9999889
2209.32,1671.0131261223457,0.9999889
2212.33,1634.1632913968526,0.9999889
2215.34,1649.823877775901,0.9999889
2218.34,1667.547325002392,0.9999889
2221.34,1685.920620656364,0.9999889
2224.34,1720.9924358180253,0.9999889
2227.33,1694.6162264789937,0.9999889
2230.32,1706.1247635428788,0.9999889
2233.3,1715.6674732388487,0.9999889
2236.29,1785.2611642957645,0.9999889
2239.27,1745.4935796314755,0.9999889
2242.24,1694.1814724139354,0.9999889
2245.22,1715.542576689408,0.9999889
2248.19,1717.8777870597764,0.9999889
2251.16,1739.9247594437554,0.9999889
2254.12,1672.3651345201222,0.9999889
2257.08,1745.8153354643348,0.9999889
2260.04,1738.0878766667474,0.9999889
2263.0,1791.282255606867,0.9999889
2265.95,1819.75954262734,0.9999889
2268.9,1801.1262149457211,0.9999889
2271.84,1827.7063715954284,0.9999889
2274.78,1841.9767374007229,0.9999889
2277.72,1843.5070184314131,0.9999889
2280.66,1850.9766446560284,0.9999889
2283.59,1884.0109100392335,0.9999889
2286.52,1913.8114816439443,0.9999889
2289.45,1852.714395829844,0.9999889
2292.37,1801.2898404321998,0.9999889
2295.29,1795.8724706230903,0.9999889
2298.21,1858.931522581959,0.9999889
2301.12,1847.0,0.9999889
