cluster_id,C13-D-acetate,C13-D-glucose,C13-D-met,D2-fructose,D2-glucose,D2O,D7-glucose,D-acetate,D-cholesterol,D-choline,D-glutamine,D-leucine,D-lysine,D-methionine,D-oa,D-pa,D-serine,D-tyrosine
1,0.0,0.013442435,3.6050653e-05,1.0833148e-05,0.0005294284,0.72931606,1.0,0.00011966877,0.0027956949,0.00026102128,0.0010301762,9.0076526e-07,1.3566708e-07,1.5364261e-06,0.00012119985,0.00013526916,0.010210722,0.0018632404
2,0.0005629789,0.0015136186,3.0173175e-07,1.0,0.0049557574,2.349125e-06,0.0011287509,0.0,0.0031383154,2.9701694e-06,0.0034400446,0.012065307,0.034196205,2.4903731e-05,0.00025056195,5.853271e-05,0.00046012507,2.7156938e-07
3,0.006754973,0.20862168,0.0,1.0,0.01704903,0.008396389,0.06517568,0.0002288593,0.033760834,0.009103829,0.44530895,0.47929728,0.110481225,0.0003694482,0.019850362,0.001377333,0.012104585,0.007998205
4,1.7422645e-06,0.101674505,0.0001677756,0.2005282,0.00060321286,0.0074150492,0.10474107,7.617105e-06,0.024743835,0.005080155,1.0,0.003516213,0.00022302562,5.826666e-05,0.0018728349,0.00020072314,0.042142265,0.07440685
5,0.0,0.28513873,0.010770537,4.026772e-05,0.007003167,1.0,0.60273814,0.0011044263,0.0031689382,0.004749745,0.06382637,1.6902385e-06,1.1309971e-05,1.1100175e-05,9.581653e-05,0.00031508252,0.050686132,0.0018864445
6,3.245556e-05,1.0,5.3012405e-05,0.00029583604,0.2990165,0.008358772,0.10717886,1.0575148e-05,0.00015561745,0.00018304231,0.00019652507,7.882835e-07,4.08903e-05,5.041455e-08,1.7242752e-05,0.012575729,3.3868255e-05,0.0
