Class,Precision,Recall,F1-Score
d2-fructose,0.9233226837060703,0.9633333333333334,0.9429037520391517
d7-glucose,0.986159169550173,0.95,0.967741935483871
d-leucine,0.9013157894736842,0.9133333333333333,0.9072847682119205
d-methionine,0.9261744966442953,0.92,0.9230769230769231
d-tyrosine,0.9290540540540541,0.9166666666666666,0.9228187919463087
