wavenumber,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2002.31,0.8831785423293841,159871,0.5639101907510747,239
2005.26,0.8990448379495115,159871,0.580443421660266,239
2008.21,0.825927429923635,159871,0.534541596486275,239
2011.15,0.8370933628400344,159871,0.5283420499823285,239
2014.09,0.8380781009249032,159871,0.5336497563159194,239
2017.02,0.8259383958015118,159871,0.5408208175099067,239
2019.96,0.8072762055248266,159871,0.5252279371255494,239
2022.89,0.811265735475068,159871,0.5210583074434648,239
2025.81,0.8198006330791799,159871,0.531723254904162,239
2028.73,0.8272524695395054,159871,0.5311678835039133,239
2031.65,0.8505427671403498,159871,0.5460232002351186,239
2034.57,0.8562542420417083,159871,0.554687511232175,239
2037.48,0.8383896041582618,159871,0.5311384628843387,239
2040.39,0.8421101879025893,159871,0.538191368875759,239
2043.29,0.8570281453642374,159871,0.5594410926477159,239
2046.19,0.8507229023101626,159871,0.5507297656726825,239
2049.09,0.8620247983594856,159871,0.5586980664332895,239
2051.98,0.8620884325209539,159871,0.5515512741079951,239
2054.87,0.8562053650617649,159871,0.5578371651495553,239
2057.76,0.8629118687989872,159871,0.5647628549630821,239
2060.64,0.8686845086666644,159871,0.575664400733823,239
2063.52,0.8574878513665044,159871,0.5693699063741474,239
2066.39,0.8616812664823625,159871,0.5751062756836143,239
2069.27,0.8682427538400602,159871,0.5789606987752333,239
2072.13,0.8585228904422662,159871,0.5627716798254161,239
2075.0,0.857196663004824,159871,0.5674351844331229,239
2077.86,0.8698056565417079,159871,0.5819944199582776,239
2080.71,0.8746425713090791,159871,0.5765083921552043,239
2083.57,0.8746367746891294,159871,0.5930966086910855,239
2086.42,0.8882159654212533,159871,0.5995098021279901,239
2089.27,0.8854660622284546,159871,0.5901536556114012,239
2092.11,0.8768544028147796,159871,0.5955551861671967,239
2094.95,0.8883412920484085,159871,0.6089319430667304,239
2097.79,0.8777196060661394,159871,0.602464760518319,239
2098.91,0.8739416305574944,159871,0.5983392206886655,239
2102.04,0.8919046560780349,159871,0.6017366354920106,239
2105.15,0.8957545377224739,159871,0.6113355615050743,239
