cluster_id,C13-D-acetate,C13-D-glucose,C13-D-met,D2-fructose,D2-glucose,D2O,D7-glucose,D-acetate,D-cholesterol,D-choline,D-glutamine,D-leucine,D-lysine,D-methionine,D-oa,D-pa,D-serine,D-tyrosine
1,3.0192416e-06,0.24053024,1.3750826e-05,0.06800313,0.13588777,0.024034312,0.49472612,0.00015550251,0.030775817,0.00074928475,0.00084390945,0.00021482923,1.1159818e-05,7.217506e-06,6.542665e-05,2.661042e-05,0.0028999113,0.0010520256
2,0.030673964,0.02714593,0.0028803784,0.55122054,0.013440308,0.0022940342,0.0038564254,0.0007849163,0.031684246,0.00010771386,0.22299622,0.012892201,0.043323908,0.003602369,0.011919979,0.0050786384,0.031791583,0.004306614
3,0.0059307446,0.008099241,0.0007007812,0.50927234,0.0030771086,0.0006235374,0.0019999691,0.0011711693,0.01653383,0.0011312749,0.10869231,0.1559911,0.06957192,0.0033465466,0.027896507,0.0010123318,0.026640207,0.058309063
4,0.0003898711,0.050698146,0.0010680773,0.5346173,0.09686217,0.01331196,0.05790037,0.00021570918,0.03321926,0.0053768614,0.1291238,0.0022693754,0.0005974439,0.00742238,0.004895378,0.00092577963,0.026559621,0.034546535
5,0.00012677301,0.19107582,0.0060431305,0.00394199,0.50459635,0.035230685,0.16150704,0.00097779,0.072646424,0.0005274937,0.0038728095,4.0931394e-05,2.5828847e-05,0.00033863637,6.7676e-05,0.00022776159,0.01841265,0.00034019526
6,5.666672e-05,0.13324799,7.48487e-06,0.010496315,0.18855603,0.32224926,0.33415806,0.000110505185,0.0057334555,6.44469e-05,0.0005480447,1.0131337e-05,2.750661e-06,3.876593e-05,0.00015184468,0.004420144,0.0001312187,1.6854454e-05
